次のうち、日本三大奇書に含まれないのはどれか。,匣の中の失楽,ドグラ・マグラ,黒死館殺人事件,虚無への供物
セ・パ両リーグで1000本安打を記録した選手は3人いるが、次のうち該当しないのは誰か。,稲葉篤紀,和田一浩,大杉勝男,落合博満
北米4大プロスポーツリーグのうち、唯一カナダに本拠地を持つチームが所属していないリーグはどれか。,NFL(アメリカンフットボール),NHL(アイスホッケー),NBA(バスケットボール),MLB(野球)
次のうち、Jリーグ発足時に加盟した10チーム、通称オリジナル10に含まれるチームはどれか。,横浜フリューゲルス,ベルマーレ平塚,ジュビロ磐田,柏レイソル
2019年現在、Jリーグに登録しているチーム数が6と一番多い都道府県はどこか。,神奈川県,静岡県,東京都,大阪府
2016-2017シーズンで、Bリーグ初代王者となったチームはどこか。,リンク栃木ブレックス,アルバルク東京,千葉ジェッツふなばし,川崎ブレイブサンダース
日本代表が1994年サッカーW杯アメリカ大会の出場を逃した試合、通称「ドーハの悲劇」の対戦相手国はイラクですが、1998年フランスW杯の出場を決めた試合、通称「ジョホールバルの歓喜」の対戦相手国はどこか。,イラン,イラク,サウジアラビア,カタール
サッカーのダービーマッチのうち、「ビッグロンドンダービー」といえばアーセナルとチェルシーの試合ですが、「ノースロンドンダービー」といえば、アーセナルとどこの試合か。,トッテナム・ホットスパー,チェルシー,ウェストハム・ユナイテッド,クリスタル・パレス
大相撲の年6場所のうち、初場所の会場となるのは両国国技館ですが、十一月場所の会場となるのはどこか。,福岡国際センター,エディオンアリーナ大阪(大阪府立体育会館),両国国技館,ドルフィンズアリーナ(愛知県体育館)
本名を「ムンフバティン・ダワージャルガル」という第69代横綱はだれか。,白鵬翔,鶴竜力三郎,日馬富士公平,朝青龍明徳
王貞治が世界新記録となる756号本塁打を打った相手投手は鈴木康二朗ですが、世界タイ記録となる755号本塁打を打った相手投手は誰でしょう。,三浦道男,鈴木康二朗,神部年男,村田元一

